ZIP,FIPS,County
31513,13161,"GA, Jeff Davis"
73142,40017,"OK, Canadian"
68025,31177,"NE, Washington"
23323,51740,"VA, Portsmouth"
24340,51173,"VA, Smyth"
15065,42019,"PA, Butler"
44256,39153,"OH, Summit"
15767,42033,"PA, Clearfield"
58341,38005,"ND, Benson"
83402,16011,"ID, Bingham"
28792,37149,"NC, Polk"
85212,04021,"AZ, Pinal"
37334,47003,"TN, Bedford"
32055,12121,"FL, Suwannee"
55051,27095,"MN, Mille Lacs"
24529,51083,"VA, Halifax"
55051,27115,"MN, Pine"
87144,35001,"NM, Bernalillo"
76549,48053,"TX, Burnet"
59486,30035,"MT, Glacier"
59486,30073,"MT, Pondera"
31014,13235,"GA, Pulaski"
97756,41013,"OR, Crook"
73501,40137,"OK, Stephens"
31014,13289,"GA, Twiggs"
24450,51023,"VA, Botetourt"
80021,08013,"CO, Boulder"
30721,13129,"GA, Gordon"
25276,54013,"WV, Calhoun"
67401,20143,"KS, Ottawa"
72153,05023,"AR, Cleburne"
44333,39103,"OH, Medina"
74019,40097,"OK, Mayes"
22967,51015,"VA, Augusta"
99634,02050,"AK, Bethel"
35957,01055,"AL, Etowah"
99576,02070,"AK, Dillingham"
28364,37093,"NC, Hoke"
32163,12069,"FL, Lake"
08080,34007,"NJ, Camden"
75501,48067,"TX, Cass"
80602,08123,"CO, Weld"
57262,46091,"SD, Marshall"
80816,08093,"CO, Park"
23964,51117,"VA, Mecklenburg"
14081,36009,"NY, Cattaraugus"
89423,32510,"NV, Carson City"
12065,36001,"NY, Albany"
14840,36097,"NY, Schuyler"
46383,18089,"IN, Lake"
45056,39135,"OH, Preble"
99670,02060,"AK, Bristol Bay"
46383,18091,"IN, La Porte"
83849,16079,"ID, Shoshone"
13032,36065,"NY, Oneida"
37922,47105,"TN, Loudon"
39341,28159,"MS, Winston"
39307,28023,"MS, Clarke"
12914,36089,"NY, St. Lawrence"
07728,34029,"NJ, Ocean"
83607,16045,"ID, Gem"
40119,21183,"KY, Ohio"
41230,21159,"KY, Martin"
41230,21071,"KY, Floyd"
23666,51700,"VA, Newport News"
33928,12021,"FL, Collier"
27889,37117,"NC, Martin"
36207,01029,"AL, Cleburne"
30436,13267,"GA, Tattnall"
00757,72043,"PR, Coamo"
36330,01035,"AL, Conecuh"
28734,37043,"NC, Clay"
45385,39027,"OH, Clinton"
71655,05079,"AR, Lincoln"
23927,51037,"VA, Charlotte"
22205,51610,"VA, Falls Church"
42003,21157,"KY, Marshall"
42003,21083,"KY, Graves"
99830,02195,
21780,24043,"MD, Washington"
65738,29109,"MO, Lawrence"
30240,13149,"GA, Heard"
70422,22063,"LA, Livingston"
22407,51630,"VA, Fredericksburg"
22407,51047,"VA, Culpeper"
76065,48113,"TX, Dallas"
97761,41031,"OR, Jefferson"
86035,04005,"AZ, Coconino"
34601,12017,"FL, Citrus"
27610,37101,"NC, Johnston"
76571,48491,"TX, Williamson"
75672,48365,"TX, Panola"
99752,02188,"AK, Northwest Arctic"
25801,54019,"WV, Fayette"
07110,34031,"NJ, Passaic"
39573,28109,"MS, Pearl River"
81422,08085,"CO, Montrose"
49329,26107,"MI, Mecosta"
05750,50021,"VT, Rutland"
71106,22015,"LA, Bossier"
81428,08051,"CO, Gunnison"
48453,26157,"MI, Tuscola"
98632,53069,"WA, Wahkiakum"
57625,46137,"SD, Ziebach"
22473,51159,"VA, Richmond"
99777,02290,"AK, Yukon-Koyukuk"
21713,24021,"MD, Frederick"
80134,08039,"CO, Elbert"
99140,53019,"WA, Ferry"
31763,13095,"GA, Dougherty"
61340,17155,"IL, Putnam"
12550,36111,"NY, Ulster"
26330,54049,"WV, Marion"
26330,54001,"WV, Barbour"
76935,48413,"TX, Schleicher"
23662,51199,"VA, York"
40447,21203,"KY, Rockcastle"
40447,21189,"KY, Owsley"
14450,36117,"NY, Wayne"
49738,26137,"MI, Otsego"
00683,72079,"PR, Lajas"
59255,30055,"MT, McCone"
59101,30003,"MT, Big Horn"
30132,13015,"GA, Bartow"
42406,21233,"KY, Webster"
62902,17087,"IL, Johnson"
30066,13057,"GA, Cherokee"
28714,37115,"NC, Madison"
28714,37111,"NC, McDowell"
28714,37121,"NC, Mitchell"
76905,48081,"TX, Coke"
27713,37183,"NC, Wake"
44601,39133,"OH, Portage"
40447,21151,"KY, Madison"
49738,26135,"MI, Oscoda"
43110,39129,"OH, Pickaway"
56435,27057,"MN, Hubbard"
56435,27035,"MN, Crow Wing"
96952,69120,"MP, Tinian"
99923,02198,
59701,30023,"MT, Deer Lodge"
56557,27107,"MN, Norman"
31069,13193,"GA, Macon"
49756,26039,"MI, Crawford"
91304,06111,"CA, Ventura"
44086,39007,"OH, Ashtabula"
54017,55095,"WI, Polk"
39083,28085,"MS, Lincoln"
61354,17011,"IL, Bureau"
21797,24031,"MD, Montgomery"
26354,54061,"WV, Monongalia"
00735,72119,"PR, Rio Grande"
00735,72053,"PR, Fajardo"
22630,51157,"VA, Rappahannock"
29010,45055,"SC, Kershaw"
29045,45039,"SC, Fairfield"
47331,18177,"IN, Wayne"
63801,29207,"MO, Stoddard"
47331,18047,"IN, Franklin"
11580,36081,"NY, Queens"
63801,29133,"MO, Mississippi"
95942,06007,"CA, Butte"
59759,30093,"MT, Silver Bow"
59859,30061,"MT, Mineral"
71322,22079,"LA, Rapides"
65771,29043,"MO, Christian"
87015,35057,"NM, Torrance"
95221,06009,"CA, Calaveras"
34119,12071,"FL, Lee"
81432,08113,"CO, San Miguel"
38762,28133,"MS, Sunflower"
39170,28029,"MS, Copiah"
95559,06023,"CA, Humboldt"
24592,51143,"VA, Pittsylvania"
12564,36079,"NY, Putnam"
73065,40109,"OK, Oklahoma"
96007,06103,"CA, Tehama"
25504,54099,"WV, Wayne"
19464,42029,"PA, Chester"
49895,26153,"MI, Schoolcraft"
75691,48183,"TX, Gregg"
73065,40051,"OK, Grady"
42029,21145,"KY, McCracken"
92536,06073,"CA, San Diego"
42124,21169,"KY, Metcalfe"
28436,37019,"NC, Brunswick"
76043,48035,"TX, Bosque"
52065,19055,"IA, Delaware"
40353,21017,"KY, Bourbon"
02446,25025,"MA, Suffolk"
40353,21011,"KY, Bath"
40353,21049,"KY, Clark"
05032,50017,"VT, Orange"
70115,22051,"LA, Jefferson"
23002,51135,"VA, Nottoway"
99723,02185,"AK, North Slope"
63645,29157,"MO, Perry"
80238,08001,"CO, Adams"
37615,47163,"TN, Sullivan"
63645,29186,"MO, Ste. Genevieve"
74016,40105,"OK, Nowata"
89406,32019,"NV, Lyon"
48219,26125,"MI, Oakland"
38901,28097,"MS, Montgomery"
38901,28135,"MS, Tallahatchie"
00693,72143,"PR, Vega Alta"
31006,13263,"GA, Talbot"
49720,26047,"MI, Emmet"
28423,37017,"NC, Bladen"
60543,17197,"IL, Will"
30427,13109,"GA, Evans"
61755,17113,"IL, McLean"
27834,37065,"NC, Edgecombe"
32433,12059,"FL, Holmes"
24017,51775,"VA, Salem"
00693,72091,"PR, Manati"
74107,40037,"OK, Creek"
48813,26025,"MI, Calhoun"
74884,40063,"OK, Hughes"
55020,27131,"MN, Rice"
37743,47029,"TN, Cocke"
65560,29161,"MO, Phelps"
72927,05131,"AR, Sebastian"
54520,55085,"WI, Oneida"
65560,29215,"MO, Texas"
65560,29203,"MO, Shannon"
87506,35028,"NM, Los Alamos"
94568,06013,"CA, Contra Costa"
60033,17007,"IL, Boone"
23112,51145,"VA, Powhatan"
23950,51025,"VA, Brunswick"
29841,45037,"SC, Edgefield"
55057,27049,"MN, Goodhue"
15531,42129,"PA, Westmoreland"
00729,72063,"PR, Gurabo"
98672,53059,"WA, Skamania"
83524,16061,"ID, Lewis"
61548,17179,"IL, Tazewell"
77545,48039,"TX, Brazoria"
20833,24027,"MD, Howard"
98028,53061,"WA, Snohomish"
37310,47139,"TN, Polk"
03748,33019,"NH, Sullivan"
42602,21057,"KY, Cumberland"
42602,21207,"KY, Russell"
42602,21231,"KY, Wayne"
65714,29209,"MO, Stone"
29466,45015,"SC, Berkeley"
57601,46021,"SD, Campbell"
65301,29053,"MO, Cooper"
15963,42009,"PA, Bedford"
30824,13301,"GA, Warren"
54538,55051,"WI, Iron"
54538,55099,"WI, Price"
27050,37169,"NC, Stokes"
59072,30027,"MT, Fergus"
39429,28065,"MS, Jefferson Davis"
39429,28073,"MS, Lamar"
96799,60010,
61109,17141,"IL, Ogle"
08822,34035,"NJ, Somerset"
20736,04025,"AZ, Yavapai"
98823,53017,"WA, Douglas"
76247,48497,"TX, Wise"
59477,30013,"MT, Cascade"
59072,30037,"MT, Golden Valley"
23321,51800,"VA, Suffolk"
54701,55033,"WI, Dunn"
54944,55139,"WI, Winnebago"
35754,01095,"AL, Marshall"
46748,18113,"IN, Noble"
43056,39119,"OH, Muskingum"
95324,06099,"CA, Stanislaus"
65247,29175,"MO, Randolph"
35146,01073,"AL, Jefferson"
55378,27037,"MN, Dakota"
72176,05117,"AR, Prairie"
74361,40131,"OK, Rogers"
94534,06055,"CA, Napa"
48111,26115,"MI, Monroe"
31061,13169,"GA, Jones"
27540,37037,"NC, Chatham"
80466,08047,"CO, Gilpin"
31801,13215,"GA, Muscogee"
65689,29091,"MO, Howell"
20607,24017,"MD, Charles"
70053,22071,"LA, Orleans"
31023,13023,"GA, Bleckley"
76442,48333,"TX, Mills"
08346,34001,"NJ, Atlantic"
38363,47077,"TN, Henderson"
76442,48133,"TX, Eastland"
76442,48049,"TX, Brown"
03753,33009,"NH, Grafton"
68064,31053,"NE, Dodge"
84518,49015,"UT, Emery"
00692,72145,"PR, Vega Baja"
31768,13321,"GA, Worth"
00692,72051,"PR, Dorado"
98110,53033,"WA, King"
39069,28037,"MS, Franklin"
72396,05147,"AR, Woodruff"
72396,05123,"AR, St. Francis"
61520,17143,"IL, Peoria"
36830,01011,"AL, Bullock"
36049,01109,"AL, Pike"
08562,34025,"NJ, Monmouth"
70791,22037,"LA, East Feliciana"
62017,17005,"IL, Bond"
80118,08041,"CO, El Paso"
45169,39057,"OH, Greene"
28036,37159,"NC, Rowan"
52339,19157,"IA, Poweshiek"
37166,47015,"TN, Cannon"
03458,33005,"NH, Cheshire"
29681,45059,"SC, Laurens"
71334,22107,"LA, Tensas"
99658,02270,"AK, Wade Hampton"
39701,28103,"MS, Noxubee"
03824,33015,"NH, Rockingham"
28352,37155,"NC, Robeson"
56303,27009,"MN, Benton"
18328,42089,"PA, Monroe"
74436,40143,"OK, Tulsa"
66006,20059,"KS, Franklin"
55735,27001,"MN, Aitkin"
28624,37027,"NC, Caldwell"
70570,22039,"LA, Evangeline"
27028,37097,"NC, Iredell"
37869,47025,"TN, Claiborne"
38358,47017,"TN, Carroll"
11691,36059,"NY, Nassau"
01247,25011,"MA, Franklin"
69101,31117,"NE, McPherson"
30605,13219,"GA, Oconee"
49967,26071,"MI, Iron"
53098,55055,"WI, Jefferson"
36722,01091,"AL, Marengo"
37779,47057,"TN, Grainger"
37779,47093,"TN, Knox"
57362,46017,"SD, Buffalo"
12053,36057,"NY, Montgomery"
58854,38025,"ND, Dunn"
98329,53035,"WA, Kitsap"
13033,36067,"NY, Onondaga"
13033,36075,"NY, Oswego"
39114,28129,"MS, Smith"
87582,35039,"NM, Rio Arriba"
40346,21173,"KY, Montgomery"
80817,08101,"CO, Pueblo"
36701,01085,"AL, Lowndes"
81334,08083,"CO, Montezuma"
71055,22013,"LA, Bienville"
22849,51165,"VA, Rockingham"
63901,29035,"MO, Carter"
49316,26015,"MI, Barry"
32309,12065,"FL, Jefferson"
02816,44007,"RI, Providence"
25422,54027,"WV, Hampshire"
30248,13255,"GA, Spalding"
17747,42081,"PA, Lycoming"
73401,40095,"OK, Marshall"
73401,40069,"OK, Johnston"
47274,18013,"IN, Brown"
39730,28017,"MS, Chickasaw"
89703,32031,"NV, Washoe"
17815,42093,"PA, Montour"
65706,29077,"MO, Greene"
64635,29079,"MO, Grundy"
81039,08071,"CO, Las Animas"
61523,17123,"IL, Marshall"
23178,51073,"VA, Gloucester"
22902,51065,"VA, Fluvanna"
92028,06065,"CA, Riverside"
63624,29093,"MO, Iron"
98901,53037,"WA, Kittitas"
28574,37061,"NC, Duplin"
23803,51149,"VA, Prince George"
28779,37113,"NC, Macon"
28779,37087,"NC, Haywood"
39629,28113,"MS, Pike"
03037,33013,"NH, Merrimack"
65775,29067,"MO, Douglas"
83654,16049,"ID, Idaho"
59718,30057,"MT, Madison"
54166,55078,"WI, Menominee"
81226,08027,"CO, Custer"
38462,47081,"TN, Hickman"
39565,28047,"MS, Harrison"
82604,56007,"WY, Carbon"
15642,42003,"PA, Allegheny"
56470,27159,"MN, Wadena"
87062,35061,"NM, Valencia"
59711,30077,"MT, Powell"
29730,45023,"SC, Chester"
29812,45005,"SC, Allendale"
00603,72071,"PR, Isabela"
30028,13085,"GA, Dawson"
47906,18181,"IN, White"
45715,39121,"OH, Noble"
47906,18171,"IN, Warren"
52501,19123,"IA, Mahaska"
81039,08025,"CO, Crowley"
52501,19107,"IA, Keokuk"
42642,21045,"KY, Casey"
65706,29229,"MO, Wright"
64635,29115,"MO, Linn"
78114,48013,"TX, Atascosa"
40380,21065,"KY, Estill"
14013,36029,"NY, Erie"
49770,26031,"MI, Cheboygan"
71465,22021,"LA, Caldwell"
28625,37059,"NC, Davie"
81131,08109,"CO, Saguache"
38606,28071,"MS, Lafayette"
71465,22127,"LA, Winn"
38606,28119,"MS, Quitman"
15834,42047,"PA, Elk"
39773,28095,"MS, Monroe"
49760,26033,"MI, Chippewa"
43140,39023,"OH, Clark"
43140,39049,"OH, Franklin"
96113,06035,"CA, Lassen"
47302,18065,"IN, Henry"
65552,29105,"MO, Laclede"
74804,40133,"OK, Seminole"
94563,06001,"CA, Alameda"
70582,22045,"LA, Iberia"
77327,48407,"TX, San Jacinto"
62258,17027,"IL, Clinton"
75474,48467,"TX, Van Zandt"
24058,51155,"VA, Pulaski"
53515,55049,"WI, Iowa"
74354,40035,"OK, Craig"
63627,29099,"MO, Jefferson"
77327,48373,"TX, Polk"
40047,21111,"KY, Jefferson"
40047,21215,"KY, Spencer"
46528,18087,"IN, Lagrange"
95966,06115,"CA, Yuba"
84050,49035,"UT, Salt Lake"
66109,20103,"KS, Leavenworth"
78942,48021,"TX, Bastrop"
16342,42085,"PA, Mercer"
64776,29015,"MO, Benton"
23102,51109,"VA, Louisa"
23102,51085,"VA, Hanover"
59427,30101,"MT, Toole"
67147,20079,"KS, Harvey"
83442,16019,"ID, Bonneville"
22973,51113,"VA, Madison"
46750,18169,"IN, Wabash"
17701,42113,"PA, Sullivan"
47613,18163,"IN, Vanderburgh"
45622,39073,"OH, Hocking"
94014,06075,"CA, San Francisco"
58504,38029,"ND, Emmons"
06489,09009,"CT, New Haven"
35582,01033,"AL, Colbert"
30217,13077,"GA, Coweta"
22443,51099,"VA, King George"
30241,13199,"GA, Meriwether"
81641,08081,"CO, Moffat"
99124,53047,"WA, Okanogan"
99663,02122,"AK, Kenai Peninsula"
40741,21235,"KY, Whitley"
40741,21051,"KY, Clay"
13778,36023,"NY, Cortland"
55337,27139,"MN, Scott"
61254,17195,"IL, Whiteside"
38474,47055,"TN, Giles"
54313,55083,"WI, Oconto"
41056,21069,"KY, Fleming"
41056,21135,"KY, Lewis"
36303,01067,"AL, Henry"
29102,45085,"SC, Sumter"
54313,55087,"WI, Outagamie"
55810,27017,"MN, Carlton"
73048,40039,"OK, Custer"
37377,47115,"TN, Marion"
40601,21211,"KY, Shelby"
80433,08035,"CO, Douglas"
29649,45001,"SC, Abbeville"
93230,06107,"CA, Tulare"
77320,48455,"TX, Trinity"
37211,47187,"TN, Williamson"
40601,21103,"KY, Henry"
01330,25015,"MA, Hampshire"
82442,56003,"WY, Big Horn"
18951,42077,"PA, Lehigh"
32413,12131,"FL, Walton"
81140,08105,"CO, Rio Grande"
81328,08067,"CO, La Plata"
99929,02275,
81641,08045,"CO, Garfield"
00777,72029,"PR, Canovanas"
31076,13225,"GA, Peach"
35128,01117,"AL, Shelby"
78057,48325,"TX, Medina"
34266,12015,"FL, Charlotte"
78550,48489,"TX, Willacy"
33458,12085,"FL, Martin"
44060,39055,"OH, Geauga"
30188,13067,"GA, Cobb"
00725,72007,"PR, Aguas Buenas"
59715,30067,"MT, Park"
39401,28067,"MS, Jones"
38501,47133,"TN, Overton"
00680,72023,"PR, Cabo Rojo"
40601,21005,"KY, Anderson"
27834,37013,"NC, Beaufort"
00612,72141,"PR, Utuado"
00612,72054,"PR, Florida"
10940,36105,"NY, Sullivan"
38301,47075,"TN, Haywood"
60018,17043,"IL, DuPage"
13601,36049,"NY, Lewis"
44256,39093,"OH, Lorain"
80204,08059,"CO, Jefferson"
93454,06079,"CA, San Luis Obispo"
45601,39079,"OH, Jackson"
45601,39131,"OH, Pike"
47150,18019,"IN, Clark"
37064,47037,"TN, Davidson"
70560,22055,"LA, Lafayette"
95076,06085,"CA, Santa Clara"
71901,05059,"AR, Hot Spring"
30012,13297,"GA, Walton"
02920,44003,"RI, Kent"
34266,12115,"FL, Sarasota"
34689,12101,"FL, Pasco"
46032,18011,"IN, Boone"
45241,39165,"OH, Warren"
97526,41029,"OR, Jackson"
33018,12011,"FL, Broward"
21228,24510,"MD, Baltimore city"
59701,30043,"MT, Jefferson"
40356,21239,"KY, Woodford"
40356,21067,"KY, Fayette"
72401,05055,"AR, Greene"
07201,34013,"NJ, Essex"
29720,45025,"SC, Chesterfield"
28562,37103,"NC, Jones"
27534,37079,"NC, Greene"
30223,13151,"GA, Henry"
60504,17093,"IL, Kendall"
40769,21147,"KY, McCreary"
74601,40103,"OK, Noble"
00738,72037,"PR, Ceiba"
19120,42091,"PA, Montgomery"
31015,13315,"GA, Wilcox"
83440,16043,"ID, Fremont"
28092,37035,"NC, Catawba"
00662,72115,"PR, Quebradillas"
98502,53045,"WA, Mason"
97219,41005,"OR, Clackamas"
29306,45021,"SC, Cherokee"
78223,48493,"TX, Wilson"
28625,37003,"NC, Alexander"
80010,08031,"CO, Denver"
78023,48019,"TX, Bandera"
71360,22009,"LA, Avoyelles"
71360,22043,"LA, Grant"
30474,13107,"GA, Emanuel"
48236,26099,"MI, Macomb"
27617,37063,"NC, Durham"
53913,55021,"WI, Columbia"
43017,39159,"OH, Union"
38261,47183,"TN, Weakley"
97140,41071,"OR, Yamhill"
00603,72099,"PR, Moca"
47403,18055,"IN, Greene"
70560,22099,"LA, St. Martin"
30213,13113,"GA, Fayette"
46750,18183,"IN, Whitley"
19464,42011,"PA, Berks"
45005,39113,"OH, Montgomery"
64118,29165,"MO, Platte"
36801,01017,"AL, Chambers"
00602,72005,"PR, Aguadilla"
23116,51087,"VA, Henrico"
78666,48091,"TX, Comal"
31061,13319,"GA, Wilkinson"
33626,12103,"FL, Pinellas"
29715,45057,"SC, Lancaster"
61081,17103,"IL, Lee"
62002,17117,"IL, Macoupin"
48838,26067,"MI, Ionia"
81101,08021,"CO, Conejos"
27330,37085,"NC, Harnett"
30824,13073,"GA, Columbia"
44857,39043,"OH, Erie"
23059,51075,"VA, Goochland"
83401,16051,"ID, Jefferson"
39759,28025,"MS, Clay"
27801,37127,"NC, Nash"
47274,18005,"IN, Bartholomew"
83338,16063,"ID, Lincoln"
78070,48259,"TX, Kendall"
27284,37057,"NC, Davidson"
26201,54041,"WV, Lewis"
29631,45007,"SC, Anderson"
28269,37025,"NC, Cabarrus"
28401,37141,"NC, Pender"
76549,48099,"TX, Coryell"
17055,42133,"PA, York"
37354,47107,"TN, McMinn"
46077,18097,"IN, Marion"
81301,08111,"CO, San Juan"
10704,36005,"NY, Bronx"
76049,48367,"TX, Parker"
76092,48121,"TX, Denton"
38703,28011,"MS, Bolivar"
89521,32029,"NV, Storey"
31061,13141,"GA, Hancock"
23139,51049,"VA, Cumberland"
41031,21181,"KY, Nicholas"
41031,21201,"KY, Robertson"
68028,31055,"NE, Douglas"
66441,20041,"KS, Dickinson"
65560,29055,"MO, Crawford"
14513,36069,"NY, Ontario"
36832,01087,"AL, Macon"
00783,72135,"PR, Toa Alta"
39350,28079,"MS, Leake"
23231,51036,"VA, Charles City"
30512,13187,"GA, Lumpkin"
56001,27103,"MN, Nicollet"
48198,26163,"MI, Wayne"
39759,28087,"MS, Lowndes"
33547,12105,"FL, Polk"
36322,01061,"AL, Geneva"
36322,01031,"AL, Coffee"
30097,13117,"GA, Forsyth"
30014,13159,"GA, Jasper"
01810,25017,"MA, Middlesex"
85602,04019,"AZ, Pima"
00794,72047,"PR, Corozal"
21136,24013,"MD, Carroll"
36037,01041,"AL, Crenshaw"
48750,26001,"MI, Alcona"
22630,51043,"VA, Clarke"
27707,37135,"NC, Orange"
26554,54091,"WV, Taylor"
20754,24003,"MD, Anne Arundel"
33034,12087,"FL, Monroe"
30673,13265,"GA, Taliaferro"
00667,72121,"PR, Sabana Grande"
27330,37125,"NC, Moore"
14519,36055,"NY, Monroe"
27886,37147,"NC, Pitt"
28345,37165,"NC, Scotland"
74344,40115,"OK, Ottawa"
32174,12035,"FL, Flagler"
49913,26083,"MI, Keweenaw"
73401,40085,"OK, Love"
21225,24005,"MD, Baltimore"
70583,22001,"LA, Acadia"
63125,29510,"MO, St. Louis city"
75098,48397,"TX, Rockwall"
39059,28049,"MS, Hinds"
37920,47155,"TN, Sevier"
63645,29187,"MO, St. Francois"
81144,08003,"CO, Alamosa"
37813,47089,"TN, Jefferson"
47274,18079,"IN, Jennings"
